name,role,team,appearances,goals,assists,yellow_cards,red_cards,mvps,goals_con,ratio
Pablo Sámano,Midfielder,Galácticos del Caribe,2,0,0,0,0,0,0,0
Juan Marín,Midfielder,Los Aliens FC,4,0,0,0,0,0,0,0
Gustavo Lua,Defender,Muchachos FC,0,0,0,0,0,0,0,0
Julio Torres,Goalkeeper,Galácticos del Caribe,0,0,0,0,0,0,0,0
Jacob Morales,Forward,Olimpo United,5,2,2,0,0,0,0,0
Erbin Trejo,Midfielder,Club de Cuervos,0,0,0,0,0,0,0,0
José Rodríguez,Midfielder,Olimpo United,5,1,2,1,0,0,0,0
Alfonso Rosales,Midfielder,Club de Cuervos,3,1,0,0,0,0,0,0
Carlos Guedez,Defender,Los Chamos FC,0,0,0,0,0,0,0,0
Diego Flores,Defender,Peluche Caligari,3,0,0,0,0,0,0,0
Alejandro Corona,Defender,Peluche Caligari,3,0,1,0,0,0,0,0
Carlos Valencia,Defender,Olimpo United,4,0,0,0,0,0,0,0
Martín Pureco,Defender,Los Chamos FC,0,0,0,0,0,0,0,0
Israel Jiménez,Defender,Muchachos FC,4,0,1,0,0,0,0,0
Fernando Olmedo,Forward,Persas FC,3,1,0,0,0,1,0,0
Asdrubal Arcos,Midfielder,Los Chamos FC,0,0,0,0,0,0,0,0
Iker Trevino,Midfielder,Atlético Parceros FC,0,0,0,0,0,0,0,0
Alain Villanueva,Midfielder,Los Chamos FC,0,0,0,0,0,0,0,0
Santiago Pérez,Midfielder,West Santos FC,2,0,0,0,0,0,0,0
Jhonatan García,Midfielder,Galácticos del Caribe,1,0,0,0,0,0,0,0
Samuel Rojas,Midfielder,West Santos FC,1,0,0,0,0,0,0,0
Kevin Olivares,Forward,Los Chamos FC,0,0,0,0,0,0,0,0
Dustinn Salazar,Forward,Peluche Caligari,2,0,0,0,0,0,0,0
Alejandro Ávalos,Midfielder,Atlético Parceros FC,0,0,0,0,0,0,0,0
Cesar Romo,Midfielder,Raniza FC,3,1,0,0,0,0,0,0
Francisco García,Defender,Peluche Caligari,3,0,0,0,0,0,0,0
Roberto Medrano,Midfielder,West Santos FC,1,0,0,0,0,0,0,0
Diego Sanjuan,Defender,Club de Cuervos,3,0,0,0,0,0,0,0
Nicolás Jalil,Defender,Persas FC,2,0,0,0,0,0,0,0
Franco Colagrossi,Goalkeeper,Muchachos FC,0,0,0,0,0,0,0,0
Erick Cerda,Forward,Galácticos del Caribe,2,0,0,0,0,0,0,0
José Rochín,Forward,Raniza FC,3,3,0,1,0,0,0,0
Manuel Viniegra,Midfielder,Club de Cuervos,3,0,0,0,0,0,0,0
Sergio Vázquez,Forward,Raniza FC,1,0,0,0,0,0,0,0
Ariel Pérez,Goalkeeper,Persas FC,0,0,0,0,0,0,0,0
Axel Martínez,Midfielder,Raniza FC,0,0,0,0,0,0,0,0
Santiago Martínez,Forward,Real Titán FC,1,0,0,0,0,0,0,0
Diego Vivian,Forward,Olimpo United,3,0,1,0,0,0,0,0
Juan Jiménez,Goalkeeper,Olimpo United,2,0,0,0,0,0,7,3.50
James Hernández,Goalkeeper,Peluche Caligari,3,0,0,0,0,0,12,4.00
Christopher Pedraza,Midfielder,Real Titán FC,2,1,0,1,0,0,0,0
Gerardo Lugo,Midfielder,Muchachos FC,4,0,1,0,0,0,0,0
Ismael Valadez,Forward,Peluche Caligari,3,1,1,0,0,0,0,0
Óscar Medina,Goalkeeper,Los Aliens FC,4,0,0,1,0,0,12,3.00
Abner Monreal,Midfielder,Galácticos del Caribe,2,0,0,0,0,0,0,0
César Bernal,Defender,Galácticos del Caribe,1,0,0,0,0,0,0,0
Ricardo Ferriño,Goalkeeper,Galácticos del Caribe,2,0,0,0,0,0,8,4.00
José Nieto,Forward,Los Aliens FC,4,2,3,1,0,0,0,0
Silverio Rocchi,Goalkeeper,West Santos FC,0,0,0,0,0,0,0,0
Patricio Navarro,Goalkeeper,Atlético Parceros FC,0,0,0,0,0,0,0,0
José Islas,Midfielder,Persas FC,2,0,0,0,0,0,0,0
Rafael Cid,Defender,Persas FC,3,0,0,1,0,0,0,0
Diego Franco,Midfielder,Los Chamos FC,0,0,0,0,0,0,0,0
William Rojas,Midfielder,West Santos FC,2,0,2,0,0,0,0,0
Erik Vera,Defender,Muchachos FC,4,0,1,0,0,0,0,0
Brayan Hernández,Midfielder,Galácticos del Caribe,2,3,1,0,0,0,0,0
Baruc Ochoa,Forward,Raniza FC,3,2,3,0,0,0,0,0
Hugo Murga,Goalkeeper,Raniza FC,3,0,0,0,0,0,10,3.33
Yair Arias,Midfielder,Raniza FC,3,2,2,0,0,0,0,0
Damián Scarinci,Forward,Los Aliens FC,4,0,0,0,0,0,0,0
Brihan Gutiérrez,Midfielder,Persas FC,3,0,0,0,0,0,0,0
Irving Melgar,Midfielder,Persas FC,2,0,0,0,0,0,0,0
Luis González,Forward,Persas FC,3,2,0,0,0,0,0,0
Jorge Ruiz,Defender,Atlético Parceros FC,0,0,0,0,0,0,0,0
Tirso Trueba,Goalkeeper,Los Aliens FC,2,0,0,1,0,0,2,1.00
Diego Gutiérrez,Forward,Atlético Parceros FC,0,0,0,0,0,0,0,0
Juan Celada,Forward,West Santos FC,2,1,0,1,0,0,0,0
Gustavo 'Furby' Guillén,Midfielder,Peluche Caligari,3,5,1,2,0,2,0,0
Iván Mateo,Midfielder,1K FC,0,0,0,0,0,0,0,0
Iker Alcarazo,Forward,xBuyer Team,5,1,0,0,0,0,0,0
Óscar Contreras,Midfielder,Rayo de Barcelona,0,0,0,0,0,0,0,0
Adrián Frutos,Defender,Jijantes FC,3,0,1,0,0,0,0,0
Hichem  Boumedol,Midfielder,Ultimate Móstoles,3,0,0,0,0,0,0,0
Giovanni Moreno,Midfielder,Atlético Parceros FC,0,0,0,0,0,0,0,0
Angellot Caro,Midfielder,Atlético Parceros FC,0,0,0,0,0,0,0,0
Álvaro Pereira,Defender,Real Titán FC,0,0,0,0,0,0,0,0
Erick Sámano,Defender,Los Chamos FC,0,0,0,0,0,0,0,0
Vitinho Cucio,Midfielder,Furia F.C.,3,0,0,0,0,0,0,0
Caio Garcia,Forward,G3X FC,5,2,0,0,0,0,0,0
Gabriel Batista,Midfielder,Furia F.C.,4,0,0,0,0,0,0,0
Victão Dos Santos,Goalkeeper,Furia F.C.,0,0,0,0,0,0,0,0
Wembley Luiz,Defender,Furia F.C.,4,0,1,0,0,0,0,0
Jefferson Melo,Midfielder,Furia F.C.,4,3,1,0,0,0,0,0
Filype 'Lipão' Pinheiro,Forward,Furia F.C.,4,4,4,0,0,1,0,0
Leonardo 'Leleti' Garcia,Forward,Furia F.C.,4,3,0,0,0,0,0,0
Maicon Silva,Defender,G3X FC,6,2,1,1,0,0,0,0
Wellington Rodrigues,Midfielder,G3X FC,6,2,5,0,0,0,0,0
Victor Bueno,Forward,G3X FC,6,0,0,1,0,0,0,0
Gabriel Kawakami,Goalkeeper,G3X FC,1,0,0,0,0,0,0,0.00
João Pedro Isidório,Goalkeeper,Furia F.C.,4,0,0,0,0,0,10,2.50
Higor Matos,Forward,Furia F.C.,4,2,1,0,0,0,0,0
Gustavo Simon,Midfielder,Furia F.C.,1,0,0,0,0,0,0,0
Josildo Barata,Goalkeeper,G3X FC,6,0,0,0,0,0,15,2.50
Andre Lucato,Midfielder,G3X FC,4,0,0,0,0,0,0,0
Gabriel Menoci,Forward,G3X FC,6,2,0,0,0,0,0,0
Pepinho Souza,Forward,G3X FC,6,0,0,1,0,0,0,0
